minorOccCodeGroup,broadOccCodeGroup,majorOccNameGroup,occupation,end_0000,end_000,end_00,end_0,hourlyMean,hourlyMed,salaryMean,salaryMed,totEmp,wageSalEmp,selfEmp,f_total,f_violence,f_trans,f_fireExp,f_fallSlipTrip,f_exposure,f_contact,f_allOther,nf_total,nf_violence,nf_violence_intent,nf_violence_unintent,nf_violence_animal,nf_trans,nf_trans_roadway,nf_fireExp,nf_fallSlipTrip,nf_fallSlipTrip_lowLevel,nf_fallSlipTrip_sameLevel,nf_fallSlipTrip_noFall,nf_exposure,nf_contact,nf_contact_struckBy,nf_contact_struckAgainst,nf_contact_caughtCompCrush,nf_overextertion,nf_overextertion_liftLowering,nf_overextertion_repetition,nf_allOther,,,stacked,,
23-2000,23-2010,Legal Occupations,Paralegals and legal assistants,FALSE,FALSE,FALSE,TRUE,25.57,23.8,53180,49500,285600,280300,5300,1,1,0,0,0,0,0,0,560,0,0,0,0,40,40,0,320,0,310,0,0,100,90,0,0,90,0,80,0,FALSE,TRUE,TRUE,,Paralegals and legal assistants
25-2000,25-2020,"Education, Training and Library Occupations",Elementary and middle school teachers,FALSE,FALSE,FALSE,TRUE,,,59270,56100,2053900,2500,2053900,0,0,1,0,0,0,0,-1,1460,410,160,250,0,0,0,0,680,50,240,400,0,190,110,50,0,170,0,0,0,FALSE,TRUE,TRUE,,Elementary and middle school teachers
25-2000,25-2030,"Education, Training and Library Occupations",Secondary school teachers,FALSE,FALSE,FALSE,TRUE,,,61280,57980,1097400,700,1097400,1,0,1,0,0,0,0,0,180,30,0,30,0,0,0,0,50,0,50,0,0,70,50,0,0,30,0,0,0,FALSE,TRUE,TRUE,,Secondary school teachers
25-2000,25-2050,"Education, Training and Library Occupations",Special education teachers,FALSE,FALSE,FALSE,TRUE,,,61280,57630,480600,100,480600,3,1,0,0,1,0,0,1,260,220,180,40,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,,Special education teachers
25-3000,25-3020,"Education, Training and Library Occupations",Self-enrichment education teachers,FALSE,FALSE,FALSE,TRUE,20.75,17.95,43150,37330,354200,284200,70000,8,0,5,0,0,0,0,3,660,110,70,30,0,0,0,0,100,0,90,0,90,30,20,0,0,330,0,0,0,FALSE,TRUE,TRUE,,Self-enrichment education teachers
25-4000,25-4020,"Education, Training and Library Occupations",Librarians,FALSE,FALSE,FALSE,TRUE,28.78,27.73,59870,57680,138200,200,138200,3,0,1,0,0,0,0,2,40,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,,Librarians
27-1000,27-1010,"Arts, Design, Entertainment, Sports and Media Occupations",Artists and related workers,FALSE,FALSE,FALSE,TRUE,38.24,33.69,79530,70080,217400,90800,126600,5,3,0,0,0,0,0,2,80,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,40,0,40,0,FALSE,TRUE,TRUE,,Artists and related workers
27-1000,27-1020,"Arts, Design, Entertainment, Sports and Media Occupations",Designers,FALSE,FALSE,FALSE,TRUE,22.97,19.61,47780,40800,616300,500700,115600,1,1,0,0,0,0,0,0,830,0,0,0,0,20,0,0,250,50,190,0,20,310,260,40,0,230,60,0,0,FALSE,TRUE,TRUE,,Designers
27-2000,27-2020,"Arts, Design, Entertainment, Sports and Media Occupations","Athletes, coaches, umpires, and related workers",FALSE,FALSE,FALSE,TRUE,,,42290,31440,309000,277700,31300,29,3,19,0,3,0,0,4,3330,450,0,440,0,0,0,0,270,0,210,30,20,490,370,80,30,1490,0,60,600,FALSE,TRUE,TRUE,,"Athletes, coaches, umpires, and related workers"
27-2000,27-2040,"Arts, Design, Entertainment, Sports and Media Occupations","Musicians, singers, and related workers",FALSE,FALSE,FALSE,TRUE,32.86,24.67,,,247300,167200,80100,10,4,2,3,0,1,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,20,0,FALSE,TRUE,TRUE,,"Musicians, singers, and related workers"
27-3000,27-3040,"Arts, Design, Entertainment, Sports and Media Occupations",Writers and editors,FALSE,FALSE,FALSE,TRUE,33.31,29.59,69280,61550,311000,200000,111000,1,0,1,0,0,0,0,0,40,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,,Writers and editors
27-4000,27-4010,"Arts, Design, Entertainment, Sports and Media Occupations",Broadcast and sound engineering technicians and radio operators,FALSE,FALSE,FALSE,TRUE,23.68,20.47,49250,42590,135300,122100,13200,4,0,0,1,0,0,0,3,220,0,0,0,0,0,0,0,90,30,50,0,0,90,50,0,0,20,0,0,0,FALSE,TRUE,TRUE,,Broadcast and sound engineering technicians and radio operators
27-4000,27-4020,"Arts, Design, Entertainment, Sports and Media Occupations",Photographers,FALSE,FALSE,FALSE,TRUE,20.5,16.38,42640,34070,147300,46900,100400,1,0,0,0,1,0,0,0,340,0,0,0,0,30,30,0,90,0,70,20,0,0,0,0,0,180,70,60,0,FALSE,TRUE,TRUE,,Photographers
29-1000,29-1020,Healthcare Practicioners and Technical Occupations,Dentists,FALSE,FALSE,FALSE,TRUE,85.9,76.81,178670,159770,153500,123900,29600,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,70,0,70,0,0,70,0,0,0,40,0,0,0,FALSE,TRUE,TRUE,,Dentists
29-1000,29-1060,Healthcare Practicioners and Technical Occupations,Physicians and surgeons,FALSE,FALSE,FALSE,TRUE,101.04,,210170,,713800,666000,47800,6,4,1,0,0,1,0,0,340,0,0,0,0,0,0,0,150,0,140,0,40,30,30,0,0,100,0,0,0,FALSE,TRUE,TRUE,,Physicians and surgeons
29-2000,29-2030,Healthcare Practicioners and Technical Occupations,Diagnostic related technologists and technicians,FALSE,FALSE,FALSE,TRUE,30.27,29.4,62960,61160,384100,381800,2400,5,0,0,0,0,3,0,2,2290,100,0,90,0,0,0,0,470,0,430,20,70,310,180,80,30,1340,180,140,0,FALSE,TRUE,TRUE,,Diagnostic related technologists and technicians
29-2000,29-2040,Healthcare Practicioners and Technical Occupations,Emergency medical technicians and paramedics,FALSE,FALSE,FALSE,TRUE,17.36,15.71,36110,32670,248000,247700,300,10,0,6,0,0,0,0,4,3830,250,100,150,0,480,460,0,540,50,200,250,0,330,180,90,60,2210,1050,0,0,FALSE,TRUE,TRUE,,Emergency medical technicians and paramedics
29-2000,29-2050,Healthcare Practicioners and Technical Occupations,Health practitioner support technologists and technicians,FALSE,FALSE,FALSE,TRUE,16.91,15.93,35180,33140,767000,765800,1200,8,0,3,0,0,3,0,2,6970,1880,680,400,790,60,40,0,1530,70,1230,220,480,1130,720,290,100,1880,470,140,0,FALSE,TRUE,TRUE,,Health practitioner support technologists and technicians
29-2000,29-2060,Healthcare Practicioners and Technical Occupations,Licensed practical and licensed vocational nurses,FALSE,FALSE,FALSE,TRUE,21.56,21.2,44840,44090,724500,720600,3900,5,3,0,0,0,0,0,2,5280,620,430,140,50,260,250,0,1710,170,1300,190,120,500,330,60,50,2060,520,60,0,FALSE,TRUE,TRUE,,Licensed practical and licensed vocational nurses
29-9000,29-9010,Healthcare Practicioners and Technical Occupations,Occupational health and safety specialists and technicians,FALSE,FALSE,FALSE,TRUE,33.14,32.13,68930,66820,101800,95700,6100,4,1,0,0,0,1,0,2,220,0,0,0,0,0,0,0,130,50,80,0,30,30,0,0,0,20,0,0,0,FALSE,TRUE,TRUE,,Occupational health and safety specialists and technicians
31-1000,31-1010,Healthcare Support Occupations,"Nursing, psychiatric, and home health aides",FALSE,FALSE,FALSE,TRUE,12.65,11.93,26320,24810,911500,893300,18200,23,7,5,0,3,6,0,2,41520,5870,3500,1970,380,1360,1130,30,8080,410,6650,940,920,3410,1940,950,390,21730,5010,140,130,FALSE,TRUE,TRUE,,"Nursing, psychiatric, and home health aides"
31-9000,31-9090,Healthcare Support Occupations,Miscellaneous healthcare support occupations,FALSE,FALSE,FALSE,TRUE,16.47,15.81,34260,32880,1418800,1411100,7700,6,0,1,0,0,3,0,2,6250,980,120,90,770,240,230,0,1420,170,1070,130,280,1080,620,310,60,2240,590,220,0,FALSE,TRUE,TRUE,,Miscellaneous healthcare support occupations
33-1000,33-1010,Protective Service Occupations,Supervisors of law enforcement workers,FALSE,FALSE,FALSE,TRUE,39.13,37.26,81380,77500,149900,1800,149900,19,14,0,0,0,3,0,2,150,70,50,20,0,0,0,0,20,0,0,0,0,0,0,0,0,40,0,0,0,FALSE,TRUE,TRUE,,Supervisors of law enforcement workers
33-1000,33-1020,Protective Service Occupations,Supervisors of fire fighting and prevention workers,FALSE,FALSE,FALSE,TRUE,37.04,35.84,77050,74540,59100,100,59100,10,0,4,0,0,0,0,6,30,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,,Supervisors of fire fighting and prevention workers
33-2000,33-2010,Protective Service Occupations,Firefighters,FALSE,FALSE,FALSE,TRUE,24.29,23.09,50520,48030,327300,326800,600,35,5,19,1,5,0,3,2,160,0,0,0,0,40,40,0,60,0,40,0,0,0,0,0,0,40,0,0,0,FALSE,TRUE,TRUE,,Firefighters
33-3000,33-3010,Protective Service Occupations,"Bailiffs, correctional officers, and jailers",FALSE,FALSE,FALSE,TRUE,22.46,20.59,46710,42820,468600,21900,468600,10,8,1,0,1,0,0,0,580,210,130,70,0,0,0,0,100,20,60,20,50,130,100,20,0,80,0,0,0,FALSE,TRUE,TRUE,,"Bailiffs, correctional officers, and jailers"
33-3000,33-3050,Protective Service Occupations,Police officers,FALSE,FALSE,FALSE,TRUE,30.19,28.73,62790,59750,689100,800,689100,109,61,45,0,0,0,0,3,150,30,0,20,0,20,0,0,40,0,30,0,0,0,0,0,0,30,0,0,0,FALSE,TRUE,TRUE,,Police officers
33-9000,33-9010,Protective Service Occupations,Animal control workers,FALSE,FALSE,FALSE,TRUE,17.6,16.61,36600,34550,13400,1500,13400,1,0,0,0,0,0,0,1,110,50,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,FALSE,TRUE,TRUE,,Animal control workers
33-9000,33-9030,Protective Service Occupations,Security guards and gaming surveillance officers,FALSE,FALSE,FALSE,TRUE,14.32,12.43,29780,25840,1133900,1129200,4800,54,38,9,0,7,0,0,0,6530,1480,830,580,50,540,240,20,2230,240,1450,480,160,970,470,340,110,1080,270,0,40,FALSE,TRUE,TRUE,,Security guards and gaming surveillance officers
33-9000,33-9090,Protective Service Occupations,Miscellaneous protective service workers,FALSE,FALSE,FALSE,TRUE,14.05,12.03,29230,25020,406200,100,406200,34,0,23,0,0,4,4,3,1290,180,70,80,30,320,220,0,490,40,310,50,30,120,50,50,0,140,0,0,0,FALSE,TRUE,TRUE,,Miscellaneous protective service workers
35-1000,35-1010,Food Preperation and Serving Occupations,Supervisors of food preparation and serving workers,FALSE,FALSE,FALSE,TRUE,17.47,15.77,36340,32790,146500,136700,9800,21,11,0,0,5,0,1,4,7170,180,150,30,0,220,160,0,2050,320,1390,250,900,2240,1590,370,230,1560,780,90,20,FALSE,TRUE,TRUE,,Supervisors of food preparation and serving workers
35-2000,35-2010,Food Preperation and Serving Occupations,Cooks,FALSE,FALSE,FALSE,TRUE,11.72,10.99,24370,22850,2403000,2385100,17900,20,9,0,1,0,7,0,3,17020,100,30,20,50,0,0,0,3340,150,2690,440,3240,7420,5830,1170,270,2820,1210,220,80,FALSE,TRUE,TRUE,,Cooks
35-2000,35-2020,Food Preperation and Serving Occupations,Food preparation workers,FALSE,FALSE,FALSE,TRUE,11.02,10.31,22920,21440,871100,866000,5100,8,0,0,0,0,3,0,5,14150,100,0,20,0,80,60,0,3690,220,2980,450,1470,6130,3830,1670,500,2670,1320,170,0,FALSE,TRUE,TRUE,,Food preparation workers
